loaded manhattan3500_Olson.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 73	 chi2= 146.076745	 time= 0.00871079	 cumTime= 0.635324	 edges= 5598	 schur= 0
iteration= 74	 chi2= 146.076745	 time= 0.00919966	 cumTime= 0.644524	 edges= 5598	 schur= 0
iteration= 75	 chi2= 146.076745	 time= 0.00817393	 cumTime= 0.652698	 edges= 5598	 schur= 0
iteration= 76	 chi2= 146.076745	 time= 0.00820446	 cumTime= 0.660902	 edges= 5598	 schur= 0
iteration= 77	 chi2= 146.076745	 time= 0.00784159	 cumTime= 0.668744	 edges= 5598	 schur= 0
iteration= 78	 chi2= 146.076745	 time= 0.00795156	 cumTime= 0.676695	 edges= 5598	 schur= 0
iteration= 79	 chi2= 146.076745	 time= 0.00811492	 cumTime= 0.68481	 edges= 5598	 schur= 0
iteration= 80	 chi2= 146.076745	 time= 0.00908451	 cumTime= 0.693895	 edges= 5598	 schur= 0
iteration= 81	 chi2= 146.076745	 time= 0.00798401	 cumTime= 0.701879	 edges= 5598	 schur= 0
iteration= 82	 chi2= 146.076745	 time= 0.00784918	 cumTime= 0.709728	 edges= 5598	 schur= 0
iteration= 83	 chi2= 146.076745	 time= 0.00834813	 cumTime= 0.718076	 edges= 5598	 schur= 0
iteration= 84	 chi2= 146.076745	 time= 0.0081562	 cumTime= 0.726232	 edges= 5598	 schur= 0
iteration= 85	 chi2= 146.076745	 time= 0.00783843	 cumTime= 0.734071	 edges= 5598	 schur= 0
iteration= 86	 chi2= 146.076745	 time= 0.0082471	 cumTime= 0.742318	 edges= 5598	 schur= 0
iteration= 87	 chi2= 146.076745	 time= 0.00933232	 cumTime= 0.75165	 edges= 5598	 schur= 0
iteration= 88	 chi2= 146.076745	 time= 0.008598	 cumTime= 0.760248	 edges= 5598	 schur= 0
iteration= 89	 chi2= 146.076745	 time= 0.00913244	 cumTime= 0.76938	 edges= 5598	 schur= 0
iteration= 90	 chi2= 146.076745	 time= 0.00916623	 cumTime= 0.778547	 edges= 5598	 schur= 0
iteration= 91	 chi2= 146.076745	 time= 0.00867656	 cumTime= 0.787223	 edges= 5598	 schur= 0
iteration= 92	 chi2= 146.076745	 time= 0.00793568	 cumTime= 0.795159	 edges= 5598	 schur= 0
iteration= 93	 chi2= 146.076745	 time= 0.00781152	 cumTime= 0.80297	 edges= 5598	 schur= 0
iteration= 94	 chi2= 146.076745	 time= 0.00784466	 cumTime= 0.810815	 edges= 5598	 schur= 0
iteration= 95	 chi2= 146.076745	 time= 0.00787476	 cumTime= 0.81869	 edges= 5598	 schur= 0
iteration= 96	 chi2= 146.076745	 time= 0.00788896	 cumTime= 0.826579	 edges= 5598	 schur= 0
iteration= 97	 chi2= 146.076745	 time= 0.0079535	 cumTime= 0.834532	 edges= 5598	 schur= 0
iteration= 98	 chi2= 146.076745	 time= 0.00783406	 cumTime= 0.842366	 edges= 5598	 schur= 0
iteration= 99	 chi2= 146.076745	 time= 0.00849601	 cumTime= 0.850862	 edges= 5598	 schur= 0
