loaded manhattan3500_Olson.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 58	 chi2= 372.779800	 time= 0.00998219	 cumTime= 0.851446	 edges= 5598	 schur= 0	 lambda= 0.171883	 levenbergIter= 1
iteration= 59	 chi2= 371.874261	 time= 0.00982111	 cumTime= 0.861267	 edges= 5598	 schur= 0	 lambda= 0.057294	 levenbergIter= 1
iteration= 60	 chi2= 369.641880	 time= 0.00956038	 cumTime= 0.870827	 edges= 5598	 schur= 0	 lambda= 0.019098	 levenbergIter= 1
iteration= 61	 chi2= 369.492043	 time= 0.0315675	 cumTime= 0.902395	 edges= 5598	 schur= 0	 lambda= 0.814852	 levenbergIter= 4
iteration= 62	 chi2= 369.307659	 time= 0.0160743	 cumTime= 0.918469	 edges= 5598	 schur= 0	 lambda= 1.086469	 levenbergIter= 2
iteration= 63	 chi2= 369.194133	 time= 0.0101314	 cumTime= 0.9286	 edges= 5598	 schur= 0	 lambda= 0.724312	 levenbergIter= 1
iteration= 64	 chi2= 369.047154	 time= 0.0168127	 cumTime= 0.945413	 edges= 5598	 schur= 0	 lambda= 0.965750	 levenbergIter= 2
iteration= 65	 chi2= 368.972603	 time= 0.00899937	 cumTime= 0.954413	 edges= 5598	 schur= 0	 lambda= 0.643833	 levenbergIter= 1
iteration= 66	 chi2= 368.857024	 time= 0.0169691	 cumTime= 0.971382	 edges= 5598	 schur= 0	 lambda= 0.858444	 levenbergIter= 2
iteration= 67	 chi2= 368.657653	 time= 0.0163248	 cumTime= 0.987706	 edges= 5598	 schur= 0	 lambda= 1.144593	 levenbergIter= 2
iteration= 68	 chi2= 368.555613	 time= 0.00884551	 cumTime= 0.996552	 edges= 5598	 schur= 0	 lambda= 0.763062	 levenbergIter= 1
iteration= 69	 chi2= 368.408040	 time= 0.0164553	 cumTime= 1.01301	 edges= 5598	 schur= 0	 lambda= 1.017416	 levenbergIter= 2
iteration= 70	 chi2= 368.334358	 time= 0.00894706	 cumTime= 1.02195	 edges= 5598	 schur= 0	 lambda= 0.678277	 levenbergIter= 1
iteration= 71	 chi2= 368.214652	 time= 0.0160666	 cumTime= 1.03802	 edges= 5598	 schur= 0	 lambda= 0.904369	 levenbergIter= 2
iteration= 72	 chi2= 368.026697	 time= 0.0173979	 cumTime= 1.05542	 edges= 5598	 schur= 0	 lambda= 1.205826	 levenbergIter= 2
iteration= 73	 chi2= 367.919001	 time= 0.00964867	 cumTime= 1.06507	 edges= 5598	 schur= 0	 lambda= 0.803884	 levenbergIter= 1
